,Show,NAME,LAT,LONG,COUNTRY,geometry
222,no,Mutorashanga,30.67416,-17.14973004,Zimbabwe,POINT (30.67416 -17.14973004)
223,no,Muzarabani,31.06110996,-16.32069999,Zimbabwe,POINT (31.06110996 -16.32069999)
224,no,Mwanezi,29.69997984,-20.75786001,Zimbabwe,POINT (29.69997984 -20.75786001)
225,no,Mwenezi,30.72432996,-21.42477,Zimbabwe,POINT (30.72432996 -21.42477)
226,no,Nandi,31.82060016,-21.06785997,Zimbabwe,POINT (31.82060016 -21.06785997)
227,no,Narira,31.14591012,-19.07172999,Zimbabwe,POINT (31.14591012 -19.07172999)
228,no,Ndadza,30.83550984,-20.18493999,Zimbabwe,POINT (30.83550984 -20.18493999)
229,no,Ndanga,31.34016,-20.1888,Zimbabwe,POINT (31.34016 -20.1888)
230,no,Ngamo,27.45421992,-19.10100996,Zimbabwe,POINT (27.45421992 -19.10100996)
231,no,Ngezi,30.39746004,-20.58849,Zimbabwe,POINT (30.39746004 -20.58849)
232,no,Ngomahuru,30.70352988,-20.41158996,Zimbabwe,POINT (30.70352988 -20.41158996)
233,no,Ngundu Halt,30.79383012,-20.80706004,Zimbabwe,POINT (30.79383012 -20.80706004)
234,no,Ngwena,29.83628988,-18.54793998,Zimbabwe,POINT (29.83628988 -18.54793998)
235,no,Ningombeneshango,27.16278984,-19.55727999,Zimbabwe,POINT (27.16278984 -19.55727999)
236,no,Njelele,29.17703988,-18.25099002,Zimbabwe,POINT (29.17703988 -18.25099002)
237,no,Nkayi,28.89353016,-19.01138004,Zimbabwe,POINT (28.89353016 -19.01138004)
238,no,Norton,30.70721988,-17.88469002,Zimbabwe,POINT (30.70721988 -17.88469002)
239,no,Nyadiri,32.00928012,-17.41543002,Zimbabwe,POINT (32.00928012 -17.41543002)
240,no,Nyadzi,27.06752988,-19.51308,Zimbabwe,POINT (27.06752988 -19.51308)
241,no,Nyakatsapa,32.62437,-18.70197003,Zimbabwe,POINT (32.62437 -18.70197003)
242,no,Nyala,31.62534012,-21.94763004,Zimbabwe,POINT (31.62534012 -21.94763004)
243,no,Nyamandhlovu,28.27267992,-19.86876999,Zimbabwe,POINT (28.27267992 -19.86876999)
244,no,Nyamazizi,31.76179992,-16.61364,Zimbabwe,POINT (31.76179992 -16.61364)
245,no,Nyanga,32.71979988,-18.09845001,Zimbabwe,POINT (32.71979988 -18.09845001)
246,no,Nyangura,31.79423016,-17.45096004,Zimbabwe,POINT (31.79423016 -17.45096004)
247,no,Nyanyadzi,32.41958004,-19.76580999,Zimbabwe,POINT (32.41958004 -19.76580999)
248,yes,Nyazura,32.16701016,-18.71362998,Zimbabwe,POINT (32.16701016 -18.71362998)
249,no,Nyika,31.59708012,-19.99656,Zimbabwe,POINT (31.59708012 -19.99656)
250,no,Nzimbo,31.04655984,-17.08369002,Zimbabwe,POINT (31.04655984 -17.08369002)
251,no,Olivia,31.93084008,-18.38639997,Zimbabwe,POINT (31.93084008 -18.38639997)
252,no,Pambuka,29.68395984,-20.44359,Zimbabwe,POINT (29.68395984 -20.44359)
253,no,Pandamatenga,25.67329992,-18.53619003,Zimbabwe,POINT (25.67329992 -18.53619003)
254,no,Pelendaba,26.92558008,-19.53531999,Zimbabwe,POINT (26.92558008 -19.53531999)
255,no,Penhalonga,32.67582984,-18.88813998,Zimbabwe,POINT (32.67582984 -18.88813998)
256,yes,Plumtree,27.81222012,-20.49489,Zimbabwe,POINT (27.81222012 -20.49489)
257,no,Queens Mine,28.75291992,-19.80746001,Zimbabwe,POINT (28.75291992 -19.80746001)
258,no,Regina Coeli,32.85068004,-17.75226996,Zimbabwe,POINT (32.85068004 -17.75226996)
259,no,Renco,31.16166012,-20.64972996,Zimbabwe,POINT (31.16166012 -20.64972996)
260,no,Riversdale,30.95161992,-18.69716997,Zimbabwe,POINT (30.95161992 -18.69716997)
261,no,Runde,30.77893008,-20.90189997,Zimbabwe,POINT (30.77893008 -20.90189997)
262,no,Rupisi,32.39303004,-20.37584997,Zimbabwe,POINT (32.39303004 -20.37584997)
